Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
OCAP,1096,Netherlands,OCAP (Linde),Transport,,,2005,,Operational,,0.5,0.5,Transport,Use,,Europe
Oceania CCS (capture sources under evaluation),647,Japan-unknown,"Nippon steel, ExxonMobil, Mitsubishi",T&S,2023,,,,Planned,,2,2,T&S,Dedicated storage,Oceania CCS,Other Asia Pacific - Australia and New Zealand
OCI Fertilizer plant phase 1 (IA),521,United States,"OCI, Enerflex (CO2 capture), Blackrock (funding), Navigor (T)",Capture,2021,2022,2025,,Under construction,1,0.45,0.45,Chemicals,Dedicated storage,Heartland Greenway,North America
OCI Fertilizer plant phase 2 (IA),522,United States,"OCI, Enerflex (CO2 capture), Blackrock (funding), Navigor (T)",Capture,2021,,,,Planned,2,0.25,0.25,Chemicals,Dedicated storage,Heartland Greenway,North America
Offshore Malay CCS (capture sources under evaluation),812,Japan-Malaysia,"Mitsui, TotalEnergies, PETRONAS",T&S,2023,,2030,,Planned,,2,2,T&S,Dedicated storage,Offshore Malay CCS,Other Asia Pacific
Olso Celsio,302,Norway,"Hafslund Oslo Celsio (formerly Fortum Oslo Varme), Aker CC (FEED)",Capture,2016,,2025,2025,Planned,,0.4,0.4,Power and heat,Dedicated storage,Northern Lights,Europe
OLYMPUS Holcim Milaki,657,Greece,"Holcim Group, Air Liquide",Capture,2023,,2028,,Planned,,1,1,Cement,Dedicated storage,Prinos CO2 storage,Europe
Omifco ammonia capture,618,Oman,"OQ group, Omifco",Capture,2023,,,,Planned,,,2.118,Hydrogen or ammonia,Unknown/unspecified,,Middle East
One Earth Energy ethanol CCS (IL),299,United States,One Earth Energy,Capture,2020,2024,2025,,Planned,,0.45,0.45,Biofuels,Dedicated storage,CarbonSAFE Illinois Storage Corridor (IL),North America
Opal Carbon Hub (ALB),507,Canada, Kiwetinohk Energy Corp.,Storage,2022,,,,Planned,,,,Storage,Dedicated storage,Opal Carbon Hub (ALB),North America
Open Access Wabamun Carbon Hub (ALB),300,Canada,"Enbridge, Capital Power, Heidelberg Materials, First Nation Capital Investment Partnership (FNCIP)",Storage,2022,,,,Planned,,4,4,Storage,Dedicated storage,Open Access Wabamun Carbon Hub (ALB),North America
Orchard (TX),877,United States,"Orchard Storage Company LLC, Elysian Ventures LLC, EnCap Flatrock Midstream, Buckeye Partners, Lonquist Sequestration",Storage,2022,,,,Planned,,1,1,Storage,Unknown/unspecified,,North America
Origins project (ALB),301,Canada,Enhance Energy,T&S,2022,,,,Planned,,20,20,T&S,Dedicated storage,Origins project (ALB),North America
Orion (AL),865,United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,,2026,,Planned,,10 - 20,20,Storage,Dedicated storage,,North America
Orion CCS Project Phase 1,850,United Kingdom,"Prenco UK (licencee 80%), Carbon Catalyst Ltd (10%), Summit Energy Evolution Limited (Sumitomo) (10%)",Storage,2023,2029,2031,,Planned,1,1,1,Storage,Dedicated storage,,Europe
Orion CCS Project Phase 2,851,United Kingdom,"Prenco UK (licencee 80%), Carbon Catalyst Ltd (10%), Summit Energy Evolution Limited (Sumitomo) (10%)",Storage,2023,2029,,,Planned,2,5,5,Storage,Dedicated storage,,Europe
Orlen Lietuva,1143,Lithuania,Orlen Lietuva,Capture,2022,,2030,,Planned,,0.3,0.3,Other fuel transformation,Dedicated storage,"CCS Baltic Consortium, Klapeida terminal",Europe
Osage CCS 1 (OK),889,United States,CapturePoint LLC,Storage,2022,,,,Planned,,,,Storage,Unknown/unspecified,Osage CCS 1 (OK),North America
Oxy DAC potential expansion scenario global 2030,466,Unknown,"1PointFive, Oxy low carbon ventures (Occidental)",Full chain,2022,,2030,,Planned,1,,38.2,DAC,Dedicated storage,,Unknown
Oxy DAC potential expansion scenario US 2030,475,United States,"1PointFive, Oxy low carbon ventures (Occidental)",Full chain,2022,,2030,,Planned,2,,16.3,DAC,Dedicated storage,South Texas DAC Hub,North America
Oxy/ADNOC UAE DAC,921,United Arab Emirates,"Oxy low carbon ventures (Occidental), ADNOC",Capture,2023,,,,Planned,,1,1,DAC,Dedicated storage,,Middle East
Pannonia Bio refinery,745,Hungary,ClonBio Group,Full chain,2021,,2026,,Planned,,0.5,0.5,Biofuels,Dedicated storage,,Europe
Papua LNG CCS,548,Papua New Guinea,TotalEnergies,Full chain,2018,2024,2027,,Planned,,1,1,Natural gas processing/LNG,Dedicated storage,,Other Asia Pacific
Parc Adfer CCS ,905,United Kingdom,Enfinium,Capture,2023,,,,Planned,,0.1,0.1,Power and heat,Dedicated storage,,Europe
Pathways alliance (ALB) (14 facilities),722,Canada,"Pathways Alliance (CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, and Suncor)",Capture,2022,,2030,,Planned,,10 - 12,12,Other fuel transformation,Dedicated storage,Oil Sands Pathways to Net Zero T&S (ALB),North America
